Date,Duration (Hours),CPU Count,RAM (GB),Storage (GB),CPU (Hours),RAM (Hours),Storage (Hours),Bandwidth IN (GB),Bandwidth OUT (GB),Cloud Storage (GB)2012-10-01,24,1,1,10,24,24,240,0.02553,0.10082,0
2012-10-02,24,1,1,10,24,24,240,0.22564,0.1585,0
2012-10-03,24,1,1,10,24,24,240,0.54693,0.02456,0
2012-10-04,24,1,1,10,24,24,240,0.00498,0.05041,0
2012-10-05,24,1,1,10,24,24,240,0.0044,0.03058,0
2012-10-06,24,1,1,10,24,24,240,0.00383,0.01385,0
2012-10-07,24,1,1,10,24,24,240,0.00384,0.01389,0
2012-10-08,23,1,1,10,23,23,686,0.00718,0.01619,0
2012-10-09,24,1,1,60,24,24,1440,0.00525,0.06997,0
2012-10-10,24,1,1,60,24,24,1440,0.00564,0.08935,0
2012-10-11,24,1,1,60,24,24,1440,0.00449,0.04373,0
2012-10-12,24,1,1,60,24,24,1440,0.00384,0.0143,0
2012-10-13,24,1,1,60,24,24,1440,0.00386,0.01449,0
2012-10-14,24,1,1,60,24,24,1440,0.01287,0.02302,0
2012-10-15,24,1,1,60,24,24,1440,0.00384,0.0145,0
2012-10-16,24,1,1,60,24,24,1440,0.00392,0.01889,0
2012-10-17,24,1,1,60,24,24,1440,0.00421,0.02845,0
2012-10-18,24,1,1,60,24,24,1440,0.00567,0.09846,0
2012-10-19,24,1,1,60,24,24,1440,0.00427,0.03876,0
2012-10-20,24,1,1,60,24,24,1440,0.00376,0.01374,0
2012-10-21,24,1,1,60,24,24,1440,0.00378,0.01377,0
2012-10-22,24,1,1,60,24,24,1440,0.00631,0.13587,0
2012-10-23,24,1,1,60,24,24,1440,0.00648,0.13574,0
2012-10-24,24,1,1,60,24,24,1440,0.00518,0.0684,0
2012-10-25,24,1,1,60,24,24,1440,0.00462,0.04892,0
2012-10-26,24,1,1,60,24,24,1440,0.00435,0.03859,0
2012-10-27,24,1,1,60,24,24,1440,0.00409,0.02936,0
2012-10-28,24,1,1,60,24,24,1440,0.00395,0.01504,0
2012-10-29,24,1,1,60,24,24,1440,0.00423,0.0431,0
2012-10-30,24,1,1,60,24,24,1440,0.00434,0.05344,0
2012-10-31,24,1,1,60,24,24,1440,0.00515,0.08103,0

Total Horas,,,,,743,743,35486,0.93643,1.53972,0
Costo por Hora,,,,,0.04,0.025,0.0003,0.0,0.15,0.005
Neto,,,,,$ 29.72,$ 18.57,$ 10.65,$ 0.00,$ 0.23,$ 0.00

Subtotal,,,,,,,,,,$ 59.17
18%,,,,,,,,,,$ 10.65
TOTAL,,,,,,,,,,$ 69.82
